0,0.76
0.000300000000000022,0.52
0.000599999999999989,0.64
0.001,1.04
0.00130000000000002,1.08
0.00159999999999999,0.52
0.00190000000000001,0.6
0.00219999999999998,0.72
0.00259999999999999,0.56
0.00290000000000001,1
0.00319999999999998,0.88
0.0035,1.08
0.00380000000000003,0.48
0.00419999999999998,1
0.0045,1.04
0.00480000000000003,1.12
0.00509999999999999,1
0.00540000000000002,1.04
0.00580000000000003,0.96
0.00609999999999999,0.96
0.00640000000000002,0.52
0.00669999999999998,1
0.00700000000000001,0.96
0.00740000000000002,0.72
0.00769999999999998,0.72
0.00800000000000001,1.12
0.00830000000000003,0.84
0.0086,0.72
0.00900000000000001,0.64
0.00930000000000003,0.56
0.0096,0.76
0.00990000000000002,0.96
0.0102,0.68
0.0106,0.92
0.0109,0.96
0.0112,0.84
0.0115,0.96
0.0118,1.08
0.0122,0.56
0.0125,1.08
0.0128,0.68
0.0131,0.4
0.0134,0.52
0.0138,0.4
0.0141,0.56
0.0144,0.88
0.0147,0.6
0.015,0.6
0.0154,0.4
0.0157,0.64
0.016,0.84
0.0163,0.72
0.0166,1
0.017,0.84
0.0173,0.56
0.0176,1
0.0179,0.96
0.0182,0.48
0.0186,0.68
0.0189,0.96
0.0192,0.48
0.0195,1.12
0.0198,0.92
0.0202,1.04
0.0205,1
0.0208,0.56
0.0211,1.12
0.0214,1
0.0218,0.84
0.0221,1.16
0.0224,1.16
0.0227,1
0.023,1.12
0.0234,0.88
0.0237,0.72
0.024,1.04
0.0243,0.88
0.0246,1.12
0.025,1
0.0253,0.88
0.0256,1.12
0.0259,0.92
0.0262,1.08
0.0266,1.16
0.0269,0.6
0.0272,0.8
0.0275,0.84
0.0278,1.12
0.0282,1.12
0.0285,0.56
0.0288,0.48
0.0291,0.76
0.0294,0.88
0.0298,1.12
0.0301,1.08
0.0304,1
0.0307,0.92
0.031,0.52
0.0314,0.84
0.0317,1.2
0.032,0.76
0.0323,0.8
0.0326,0.72
0.033,0.56
0.0333,0.72
0.0336,0.88
0.0339,1.12
0.0342,1.04
0.0346,1
0.0349,0.8
0.0352,0.96
0.0355,1.08
0.0358,1.04
0.0362,0.88
0.0365,0.96
0.0368,1
0.0371,0.64
0.0374,0.64
0.0378,0.8
0.0381,0.56
0.0384,0.52
0.0387,1.2
0.039,0.56
0.0394,0.68
0.0397,0.92
0.04,0.72
0.0403,1.08
0.0406,1.04
0.041,1.12
0.0413,0.84
0.0416,0.88
0.0419,1.04
0.0422,0.88
0.0426,0.96
0.0429,0.84
0.0432,0.88
0.0435,0.52
0.0438,0.84
0.0442,1.04
0.0445,1.08
0.0448,1.16
0.0451,0.68
0.0454,1.08
0.0458,0.76
0.0461,0.56
0.0464,0.64
0.0467,0.72
