TIME,CH1
0.1114,0.88
0.1117,0.56
0.112,0.76
0.1123,0.88
0.1126,0.6
0.113,0.56
0.1133,0.76
0.1136,0.64
0.1139,0.8
0.1142,0.68
0.1146,0.8
0.1149,0.88
0.1152,0.6
0.1155,0.8
0.1158,0.92
0.1162,0.92
0.1165,0.92
0.1168,0.64
0.1171,0.8
0.1174,0.88
0.1178,0.56
0.1181,0.64
0.1184,0.56
0.1187,0.88
0.119,0.68
0.1194,0.92
0.1197,0.72
0.12,1
0.1203,0.76
0.1206,0.6
0.121,0.76
0.1213,0.92
0.1216,0.64
0.1219,0.6
0.1222,0.84
0.1226,0.96
0.1229,0.88
0.1232,0.84
0.1235,0.8
0.1238,0.84
0.1242,0.64
0.1245,0.56
0.1248,0.76
0.1251,0.72
0.1254,1.2
0.1258,1.04
0.1261,0.88
0.1264,0.8
0.1267,0.88
0.127,1
0.1274,0.88
0.1277,0.56
0.128,0.88
0.1283,0.92
0.1286,0.76
0.129,0.64
0.1293,0.56
0.1296,0.8
0.1299,0.92
0.1302,0.72
0.1306,0.88
0.1309,0.96
0.1312,0.64
0.1315,0.72
0.1318,0.6
0.1322,0.56
0.1325,0.72
0.1328,0.72
0.1331,0.92
0.1334,0.56
0.1338,0.6
0.1341,0.68
0.1344,1.04
0.1347,1.12
0.135,0.8
0.1354,0.64
0.1357,0.68
0.136,0.84
0.1363,0.64
0.1366,0.8
0.137,0.92
0.1373,0.64
0.1376,0.76
0.1379,0.64
0.1382,0.56
0.1386,0.6
0.1389,0.76
0.1392,0.8
0.1395,0.68
0.1398,0.68
0.1402,0.72
0.1405,0.8
0.1408,0.84
0.1411,0.72
0.1414,0.84
0.1418,0.84
0.1421,0.84
0.1424,0.96
0.1427,1
0.143,0.64
0.1434,0.64
0.1437,0.64
0.144,0.68
0.1443,0.68
0.1446,0.92
0.145,0.8
0.1453,0.8
0.1456,0.76
0.1459,1.04
0.1462,0.92
0.1466,0.64
0.1469,0.6
0.1472,1.16
0.1475,0.56
0.1478,0.8
0.1482,1.08
0.1485,0.8
0.1488,0.64
0.1491,0.84
0.1494,0.88
0.1498,0.8
0.1501,1.24
0.1504,0.92
0.1507,0.68
0.151,1.28
0.1514,0.6
0.1517,0.56
0.152,0.64
0.1523,0.72
0.1526,0.68
0.153,0.56
0.1533,0.6
0.1536,0.56
0.1539,0.52
0.1542,0.68
0.1546,0.88
0.1549,0.6
0.1552,1.28
0.1555,0.44
0.1558,0.6
0.1562,0.68
0.1565,0.76
0.1568,0.68
0.1571,0.76
0.1574,0.8
0.1578,1.16
0.1581,0.68
0.1584,0.84
0.1587,0.6
0.159,0.8
0.1594,0.68
0.1597,1.32
0.16,0.6
0.1603,0.64
0.1606,1
0.161,1
0.1613,0.92
0.1616,0.6
0.1619,1.12
0.1622,1.12
0.1626,0.88
0.1629,0.96
0.1632,0.96
0.1635,0.84
0.1638,0.72
0.1642,0.6
0.1645,1.08
0.1648,0.76
0.1651,0.92
0.1654,1.04
0.1658,0.76
0.1661,0.76
0.1664,1.12
0.1667,0.92
0.167,0.72
0.1674,0.84
0.1677,0.6
0.168,0.68
0.1683,0.88
0.1686,0.68
0.169,0.76
0.1693,0.8
0.1696,0.52
0.1699,0.8
0.1702,0.64
0.1706,0.76
0.1709,0.76
0.1712,0.92
0.1715,0.6
0.1718,0.64
0.1722,0.6
0.1725,1.04
0.1728,0.72
0.1731,0.92
0.1734,0.96
0.1738,1.08
0.1741,0.68
0.1744,0.8
0.1747,0.8
0.175,0.76
0.1754,0.6
0.1757,0.64
0.176,0.76
0.1763,0.88
0.1766,0.56
0.177,0.88
0.1773,0.68
0.1776,0.68
0.1779,0.68
0.1782,1.2
0.1786,0.76
0.1789,0.56
0.1792,0.68
0.1795,0.92
